   text	   data	    bss	    dec	    hex	filename
   8380	      0	      0	   8380	   20bc	m2mnsdlinterface.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   2054	      0	      0	   2054	    806	m2mreporthandler.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   1874	      0	      0	   1874	    752	m2mstring.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   1459	      0	      0	   1459	    5b3	m2mserver.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   4259	      0	      0	   4259	   10a3	m2minterfaceimpl.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   3258	      0	      0	   3258	    cba	m2mresource.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   2187	      0	      0	   2187	    88b	m2mtlvdeserializer.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   2035	      0	      0	   2035	    7f3	m2mbase.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
    252	      4	      0	    256	    100	nsdlaccesshelper.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   4382	      0	      0	   4382	   111e	m2mobjectinstance.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   2943	      0	      0	   2943	    b7f	m2mobject.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   1652	      0	   1540	   3192	    c78	m2mconstants.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   2807	      4	      0	   2811	    afb	m2mdevice.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   2226	      4	      0	   2230	    8b6	m2mfirmware.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
    272	      0	      0	    272	    110	m2minterfacefactory.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   1632	      0	      0	   1632	    660	m2msecurity.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   1593	      0	      0	   1593	    639	m2mtlvserializer.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
   2484	      0	      0	   2484	    9b4	m2mresourceinstance.cpp.o (ex ./build/frdm-k64f-armcc/source/mbed-client.ar)
  45749	     12	   1540	  47301	   b8c5	(TOTALS)
