   text	   data	    bss	    dec	    hex	filename
     40	      0	      0	     40	     28	exit.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    218	      0	      0	    218	     da	FilePath.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
     64	      0	      0	     64	     40	wait_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
     88	      0	      0	     88	     58	assert.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    308	      0	      0	    308	    134	Timer.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
     70	      0	      0	     70	     46	rtc_time.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    224	      0	      0	    224	     e0	ticker_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
   1335	      4	      0	   1339	    53b	I2C.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
   2021	      4	    264	   2289	    8f1	I2CDetail.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    295	      4	      0	    299	    12b	FileBase.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    235	      0	      0	    235	     eb	Ticker.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    264	      0	      0	    264	    108	TimerEvent.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    718	      0	      0	    718	    2ce	InterruptIn.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    238	      0	      0	    238	     ee	gpio.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
   2263	      4	    716	   2983	    ba7	SPI.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
   1949	      8	    300	   2257	    8d1	retarget.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    849	      0	      0	    849	    351	CallChain.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    396	      0	      0	    396	    18c	pinmap_common.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    471	      0	      0	    471	    1d7	FileSystemLike.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
     56	      8	      0	     64	     40	us_ticker_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    390	      0	      0	    390	    186	RawSerial.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    156	      0	      0	    156	     9c	EphemeralBuffer.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    692	     20	      0	    712	    2c8	test_env.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    709	      0	      0	    709	    2c5	BusInOut.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
   1982	      0	      0	   1982	    7be	SerialBase.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    136	      0	      0	    136	     88	Timeout.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    116	      0	      0	    116	     74	board.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    444	      4	      0	    448	    1c0	InterruptManager.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
     32	      0	      0	     32	     20	error.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    485	      0	      0	    485	    1e5	Serial.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
   1619	      0	      0	   1619	    653	I2C.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    699	      0	      0	    699	    2bb	Stream.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    307	      0	      0	    307	    133	FileLike.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    480	      0	      0	    480	    1e0	BusIn.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
    593	      0	      0	    593	    251	BusOut.cpp.o (ex ./build/frdm-k64f-armcc/ym/mbed-drivers/source/mbed-drivers.ar)
  20942	     56	   1280	  22278	   5706	(TOTALS)
