   text	   data	    bss	    dec	    hex	filename
    146	      0	      0	    146	     92	fsl_dac_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    166	      0	      0	    166	     a6	rtc_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
      0	      0	      0	      0	      0	fsl_misc_utilities.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   1592	      0	      0	   1592	    638	i2c_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    618	      0	      0	    618	    26a	fsl_ftm_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   1124	      0	      0	   1124	    464	fsl_uart_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   1240	      0	      0	   1240	    4d8	fsl_edma_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    406	      4	      0	    410	    19a	us_ticker.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
     36	      0	      0	     36	     24	fsl_pmc_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   2242	      4	     20	   2266	    8da	serial_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    188	      0	      0	    188	     bc	fsl_osc_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
      8	      0	      0	      8	      8	fsl_pit_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   1250	      0	      0	   1250	    4e2	fsl_sim_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    440	      0	      0	    440	    1b8	fsl_phy_driver.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
     44	      0	      0	     44	     2c	fsl_dmamux_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   4316	      0	      0	   4316	   10dc	fsl_flexcan_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   1060	      0	      0	   1060	    424	fsl_llwu_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    424	      0	      0	    424	    1a8	fsl_mcg_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    658	      0	      0	    658	    292	fsl_rtc_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   4434	      0	      0	   4434	   1152	fsl_mcg_hal_modes.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   1710	      0	      0	   1710	    6ae	fsl_sai_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
     42	      0	      0	     42	     2a	fsl_gpio_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    240	      0	      0	    240	     f0	pinmap.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    352	      0	      0	    352	    160	analogin_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    494	      0	      0	    494	    1ee	fsl_smc_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    278	      0	      0	    278	    116	analogout_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    198	      0	      0	    198	     c6	fsl_sdhc_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
     76	      0	      0	     76	     4c	fsl_wdog_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
     12	      0	      0	     12	      c	fsl_os_abstraction_mbed.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    312	      0	      0	    312	    138	port_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    194	      0	      0	    194	     c2	gpio_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
     64	      0	      0	     64	     40	fsl_mpu_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    128	      0	      0	    128	     80	fsl_lptmr_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
   1218	      0	      0	   1218	    4c2	spi_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
     16	      0	      0	     16	     10	fsl_pit_common.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    356	      0	      0	    356	    164	fsl_clock_manager.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    128	      0	      0	    128	     80	fsl_rcm_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    180	      0	     16	    196	     c4	fsl_pit_irq.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    830	      4	      0	    834	    342	pwmout_api.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
    352	      0	      0	    352	    160	fsl_pdb_hal.c.o (ex ./build/frdm-k64f-armcc/ym/mbed-hal-ksdk-mcu/source/mbed-hal-ksdk-mcu.ar)
