   text	   data	    bss	    dec	    hex	filename
      0	      0	      0	      0	      0	memory_buffer_alloc.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	ecjpake.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   9047	      0	      0	   9047	   2357	bignum.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	x509_create.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    844	      0	     52	    896	    380	cipher_wrap.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   2439	      4	     92	   2535	    9e7	ssl_ciphersuites.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1949	    308	      0	   2257	    8d1	version_features.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    458	      0	      0	    458	    1ca	ssl_cookie.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
     52	      0	      0	     52	     34	version.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1754	      4	      0	   1758	    6de	cipher.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
  26029	     68	      0	  26097	   65f1	ssl_tls.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	padlock.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	des.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   6383	      0	      0	   6383	   18ef	rsa.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   2082	      0	      0	   2082	    822	pkparse.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
  13016	      0	      0	  13016	   32d8	ssl_cli.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	xtea.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    636	      0	      0	    636	    27c	ecdh.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   5728	      0	      0	   5728	   1660	gcm.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	net.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	threading.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   8108	      0	      0	   8108	   1fac	x509_crt.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	pkcs12.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	pkcs11.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    896	      0	      0	    896	    380	asn1parse.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    478	      0	      0	    478	    1de	ssl_cache.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	x509write_csr.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1105	      0	      0	   1105	    451	base64.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1012	      0	      0	   1012	    3f4	asn1write.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   5316	      0	      0	   5316	   14c4	oid.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    318	      0	      0	    318	    13e	pem.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
  10351	      0	      0	  10351	   286f	error.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1564	      0	      0	   1564	    61c	ccm.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	pkcs5.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   3922	      4	   8744	  12670	   317e	aes.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	camellia.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
     80	      4	      0	     84	     54	entropy_hardware_poll.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1468	      4	      0	   1472	    5c0	ctr_drbg.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   3528	      4	      0	   3532	    dcc	ecp_curves.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	havege.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	platform.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	timing.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	entropy_poll.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1572	      4	      0	   1576	    628	debug.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    380	      0	      0	    380	    17c	md_wrap.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    844	      0	      0	    844	    34c	pkwrite.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    882	      0	      0	    882	    372	pk.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    678	      0	      0	    678	    2a6	hmac_drbg.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    974	      0	      0	    974	    3ce	md.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1032	      0	      0	   1032	    408	ssl_ticket.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	x509write_crt.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	md2.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
    734	      0	      0	    734	    2de	entropy.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   9231	     20	      0	   9251	   2423	ecp.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1970	      0	      0	   1970	    7b2	x509_crl.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	md5.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	md4.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1414	      0	      0	   1414	    586	ecdsa.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	x509_csr.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
  14045	      0	      0	  14045	   36dd	ssl_srv.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   3680	      0	      0	   3680	    e60	sha256.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   5678	      0	      0	   5678	   162e	sha512.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	ripemd160.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1255	      0	      0	   1255	    4e7	pk_wrap.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
  14577	     40	      0	  14617	   3919	certs.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
   1528	      0	      0	   1528	    5f8	x509.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	arc4.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	aesni.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	sha1.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	blowfish.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
      0	      0	      0	      0	      0	dhm.c.o (ex ./build/frdm-k64f-armcc/ym/mbedtls/source/mbedtls.ar)
 169037	    464	   8888	 178389	  2b8d5	(TOTALS)
