   text	   data	    bss	    dec	    hex	filename
      8	      0	      0	      8	      8	def.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	chap.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   1398	      0	      0	   1398	    576	pbuf.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	ppp.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   3618	      4	     50	   3672	    e58	dhcp.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
    646	     12	      0	    658	    292	netif.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	vj.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
    224	      0	  10299	  10523	   291b	memp.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   3080	     28	     20	   3128	    c38	tcp_in.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
    714	     16	  36808	  37538	   92a2	mem.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
    448	      4	      0	    452	    1c4	raw.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	auth.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	fsm.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	randm.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	api_msg.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	ipcp.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	err.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	ethernetif.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	autoip.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   1302	     20	   1639	   2961	    b91	dns.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	asn1_enc.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   1370	      8	      0	   1378	    562	ip_frag.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
    908	     20	      0	    928	    3a0	ip.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	inet.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	magic.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	md5.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	sockets.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	asn1_dec.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   1096	     12	      0	   1108	    454	igmp.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	msg_out.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      0	      0	      0	      0	      0	checksum.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	mib2.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	lcp.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	msg_in.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
    484	      0	     16	    500	    1f4	ip_addr.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	chpms.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	mib_structs.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   2574	      0	      0	   2574	    a0e	tcp_out.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	ppp_oe.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	netbuf.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
    456	      0	      0	    456	    1c8	inet_chksum.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      0	      0	      0	      0	      0	memcpy.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   1464	      1	    160	   1625	    659	etharp.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   1134	      4	      0	   1138	    472	udp.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
    134	      4	      0	    138	     8a	sys_arch.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	netifapi.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
     38	      0	      0	     38	     26	init.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
    656	     12	      0	    668	    29c	timers.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	stats.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	pap.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	slipif.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   2648	      0	      0	   2648	    a58	asynch_socket.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
   2648	     32	      0	   2680	    a78	tcp.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
    396	      0	      0	    396	    18c	icmp.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	api_lib.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	netdb.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
      8	      0	      0	      8	      8	tcpip.c.o (ex ./build/frdm-k64f-armcc/ym/sal-stack-lwip/source/sal-stack-lwip.ar)
  27700	    177	  48992	  76869	  12c45	(TOTALS)
